,counts
warner bros.,491
universal pictures,463
paramount pictures,393
twentieth century fox film corporation,341
columbia pictures,236
metro-goldwyn-mayer (mgm),207
new line cinema,198
touchstone pictures,158
walt disney pictures,147
columbia pictures corporation,140
canal+,130
tristar pictures,121
relativity media,115
united artists,105
miramax films,104
village roadshow pictures,89
regency enterprises,81
dreamworks skg,78
lionsgate,73
fox searchlight pictures,69
amblin entertainment,68
studiocanal,65
working title films,63
dune entertainment,62
summit entertainment,61
dimension films,60
bbc films,56
orion pictures,56
hollywood pictures,55
fox 2000 pictures,52
film4,49
imagine entertainment,48
new regency pictures,46
focus features,45
castle rock entertainment,44
the weinstein company,44
polygram filmed entertainment,44
silver pictures,42
lions gate films,41
legendary pictures,40
scott rudin productions,40
morgan creek productions,40
screen gems,39
france 2 cinéma,39
scott free productions,38
spyglass entertainment,37
tsg entertainment,37
davis entertainment,37
epsilon motion pictures,37
lakeshore entertainment,36
participant media,36
original film,35
millennium films,34
dreamworks animation,34
ciné+,34
a24,33
wild bunch,33
blumhouse productions,32
uk film council,32
revolution studios,32
europacorp,32
malpaso productions,31
tf1 films production,31
happy madison productions,30
studio babelsberg,29
centre national de la cinématographie (cnc),28
ingenious film partners,27
dune entertainment iii,27
gaumont,26
arte france cinéma,26
filmnation entertainment,25
walt disney productions,25
studio canal,24
jerry bruckheimer films,24
vertigo entertainment,24
canal+ españa,23
intermedia films,23
npv entertainment,22
im global,22
film i väst,22
ingenious media,22
eon productions,22
carolco pictures,22
lucasfilm,22
channel four films,21
téléfilm canada,21
apatow productions,21
alcon entertainment,21
walden media,20
emmett/furla films,20
american zoetrope,20
interscope communications,20
constantin film produktion,20
rko radio pictures,20
anonymous content,20
di bonaventura pictures,20
dino de laurentiis company,20
arte,20
nickelodeon movies,19
sidney kimmel entertainment,19
marvel enterprises,19
franchise pictures,19
marvel studios,19
dc comics,18
dentsu,18
fine line features,18
mirage enterprises,18
nu image films,18
mtv films,18
pixar animation studios,18
heyday films,17
france 3 cinéma,17
universal studios,17
1492 pictures,17
phoenix pictures,17
cannon group,17
sony pictures classics,17
why not productions,17
platinum dunes,17
reliance entertainment,17
ratpac-dune entertainment,17
jersey films,16
imagenation abu dhabi fz,16
toho company,16
new world pictures,16
lstar capital,16
donners' company,16
dc entertainment,16
tim burton productions,16
dark castle entertainment,16
golden harvest company,16
mandate pictures,16
tribeca productions,16
irish film board,16
plan b entertainment,16
atlas entertainment,16
miramax,16
big screen productions,16
saturn films,16
westdeutscher rundfunk (wdr),16
davis-films,16
40 acres & a mule filmworks,16
cj entertainment,16
cbs films,15
21 laps entertainment,15
cinécinéma,15
robert simonds productions,15
marc platt productions,15
exclusive media group,15
pathé,15
scion films,15
benderspink,15
worldview entertainment,15
revolution sun studios,15
icon entertainment international,15
eurimages,15
endgame entertainment,15
utv motion pictures,15
yash raj films,14
"kennedy/marshall company, the",14
warner bros. animation,14
double feature films,14
killer films,14
alliance films,14
escape artists,14
