,counts
warner,543
universal,504
paramount,424
columbia pictures,379
20th century fox,371
21st century,371
twentieth century fox,371
walt disney,219
metro-goldwyn-mayer,208
new line,199
canal,178
touchstone pictures,158
fox,143
dreamworks,131
tristar,124
lions gate,120
lionsgate,120
miramax,120
relativity media,115
united artists,105
dune,97
france,93
village roadshow,91
regency,82
sony,79
amblin,70
bbc,68
studiocanal,66
orion pictures,63
working title films,63
dimension films,62
summit entertainment,61
hollywood pictures,55
imagine,53
marvel,52
ingenious,51
film4,49
focus features,46
new regency pictures,46
polygram,46
tf1,46
castle rock entertainment,44
the weinstein company,44
silver pictures,42
screen gems,41
legendary pictures,40
morgan creek productions,40
original,40
scott rudin productions,40
malpaso,39
participant,39
scott free productions,38
davis entertainment,37
epsilon motion pictures,37
lakeshore,37
spyglass entertainment,37
tsg entertainment,37
pathé,35
ciné+,34
dc comics,34
dc entertainment,34
millennium films,34
wild bunch,34
a24,33
europacorp,33
vertigo,33
blumhouse productions,32
revolution studios,32
uk film council,32
studio babelsberg,31
constantin film,30
happy madison productions,30
cannon,28
centre national de la cinématographie (cnc),28
gaumont,28
silver screen partners,28
alliance,27
dino de laurentiis,27
arte france cinéma,26
carolco,26
hbo,26
home box office (hbo),26
china film & tv capital,25
dentsu,25
filmnation entertainment,25
intermedia,25
jerry bruckheimer films,24
ratpac,24
reliance,24
rko,24
studio canal,24
im global,23
eon productions,22
film i väst,22
lucasfilm,22
mirage,22
npv entertainment,22
alcon entertainment,21
anonymous,21
apatow productions,21
channel four films,21
di bonaventura picture,21
mandalay,21
phoenix,21
téléfilm canada,21
zentropa,21
american zoetrope,20
arte,20
emmett/furla films,20
interscope communications,20
nickelodeon,20
nu image,20
walden media,20
franchise pictures,19
mtv,19
sidney kimmel entertainment,19
fine line features,18
golden harvest,18
pixar animation studios,18
1492 pictures,17
heyday films,17
m6,17
media rights capital,17
platinum dunes,17
why not productions,17
40 acres & a mule filmworks,16
atlas entertainment,16
big screen productions,16
cj entertainment,16
dark castle entertainment,16
davis-films,16
donners' company,16
exclusive,16
imagenation abu dhabi fz,16
irish film board,16
jersey films,16
lorimar,16
lstar capital,16
mandate pictures,16
moving picture,16
new world pictures,16
plan b entertainment,16
playtone,16
saturn films,16
televisión española,16
tim burton productions,16
toho company,16
tribeca productions,16
westdeutscher rundfunk (wdr),16
21 laps entertainment,15
alphaville,15
beacon,15
benderspink,15
cbs films,15
cinécinéma,15
cruise,15
endgame entertainment,15
eurimages,15
hyde park,15
icon entertainment international,15
marc platt productions,15
revolution sun studios,15
robert simonds productions,15
samuel goldwyn,15
scion films,15
skydance,15
utv motion pictures,15
worldview entertainment,15
caravan pictures,14
chernin entertainment,14
cofimage,14
double feature films,14
escape artists,14
initial,14
"kennedy/marshall company, the",14
killer films,14
medusa,14
nordisk,14
overbrook,14
temple hill,14
yash raj films,14
annapurna pictures,13
bavaria,13
bazelevs production,13
dark horse entertainment,13
de laurentiis entertainment group (deg),13
dna,13
gk films,13
golan-globus productions,13
good machine,13
impact pictures,13
instituto de la cinematografía y de las artes audiovisuales (icaa),13
lipsync productions,13
mandeville films,13
mosaic media group,13
mutual film company,13
open road films,13
senator,13
signature,13
slm production group,13
sunswept entertainment,13
sveriges television (svt),13
the criterion collection,13
the ladd company,13
wildwood enterprises,13
wingnut films,13
2929 productions,12
american entertainment,12
appian way,12
artisan entertainment,12
automatik entertainment,12
bad hat harry productions,12
bad robot,12
british film institute (bfi),12
cinergi pictures entertainment,12
cross creek pictures,12
destination films,12
dinovi pictures,12
fuji television network,12
gary sanchez productions,12
gold circle films,12
goldcrest films international,12
hasbro,12
hemdale film,12
huayi,12
likely story,12
media asia,12
mel's cite du cinema,12
propaganda films,12
radar pictures,12
rai cinema,12
rogue pictures,12
scope pictures,12
screen australia,12
section eight,12
seven arts,12
studio ghibli,12
toei,12
3 art,11
amazon,11
baltimore pictures,11
blue sky studios,11
british broadcasting corporation (bbc),11
central partnership,11
centropolis entertainment,11
de line pictures,11
disney,11
ghost house pictures,11
imagemovers,11
jerry weintraub productions,11
mace neufeld productions,11
magnolia,11
red hour,11
red wagon,11
stillking films,11
thunder road,11
weed road pictures,11
wwe studios,11
x-filme creative pool,11
yari film group,11
zweites deutsches fernsehen (zdf),11
alcor films,10
antena 3,10
anton capital entertainment (ace),10
british screen productions,10
canadian film or video production tax credit (cptc),10
demarest films,10
filmförderungsanstalt (ffa),10
goldcrest pictures,10
gracie films,10
hughes entertainment,10
indian paintbrush,10
kennedy miller productions,10
lawrence gordon productions,10
le tax shelter du gouvernement fédéral de belgique,10
media programme of the european,10
michael de luca productions,10
newmarket capital group,10
qed international,10
région ile-de-france,10
recorded picture,10
syncopy,10
the kennedy/marshall company,10
this is that productions,10
arte france,9
australian film finance corporation,9
avco embassy pictures,9
bandai,9
bedford falls,9
big beach films,9
blinding edge pictures,9
brooksfilms,9
cheyenne enterprises,9
contrafilm,9
filmdistrict,9
filmstiftung nordrhein-westfalen,9
focus films,9
forward pass,9
greenestreet films,9
hanway films,9
icon productions,9
intrepid pictures,9
largo entertainment,9
lawrence bender productions,9
marv films,9
parkes+macdonald image nation,9
river road entertainment,9
roth films,9
silver reel,9
spring creek productions,9
svenska filminstitutet (sfi),9
the mark gordon company,9
tps star,9
twisted pictures,9
affirm films,8
allied filmmakers,8
bim distribuzione,8
bluegrass films,8
bold films,8
brandywine productions,8
buena vista,8
color force,8
current entertainment,8
danjaq,8
danmarks radio (dr),8
detour filmproduction,8
don simpson/jerry bruckheimer films,8
ecosse films,8
edward r. pressman film,8
filmcolony,8
gran via productions,8
grindstone entertainment group,8
groundswell productions,8
hakuhodo dy media partners,8
illumination entertainment,8
isle of man film,8
kanzaman,8
kopelson entertainment,8
laurence mark productions,8
ld entertainment,8
mad chance,8
merchant ivory productions,8
metropolitan filmexport,8
nick wechsler productions,8
offspring entertainment,8
pacific data images (pdi),8
pacific western,8
palmstar media,8
prescience,8
protozoa pictures,8
province of british columbia production services tax credit,8
rising star,8
rysher entertainment,8
sean s. cunningham films,8
smokehouse pictures,8
stage 6 films,8
team todd,8
the montecito picture company,8
the safran company,8
tig productions,8
toho-towa,8
touchwood pacific partners 1,8
troublemaker studios,8
ufilm,8
valhalla motion pictures,8
view askew productions,8
voltage pictures,8
a band apart,7
abc,7
amercent films,7
american film,7
aramid entertainment fund,7
atmosphere entertainment mm,7
backup,7
big talk productions,7
brightlight pictures,7
broken road productions,7
capitol films,7
ciby 2000,7
closest to the hole productions,7
cruel and unusual films,7
crystal sky,7
cube vision,7
det danske filminstitut,7
deutsche filmförderfonds (dfff),7
duplass brothers productions,7
emperor motion pictures,7
eros international,7
firm films,7
flower films (ii),7
foresight unlimited,7
gordon company,7
gravier productions,7
grive productions,7
instituto de crédito oficial (ico),7
kings road entertainment,7
kinokompaniya ctb,7
lightstorm entertainment,7
liveplanet,7
major studio partners,7
medienboard berlin-brandenburg,7
memfis film,7
mid atlantic films,7
mike zoss productions,7
mk2 productions,7
number 9 films,7
outlaw productions (i),7
overture films,7
pandora filmproduktion,7
parkes/macdonald productions,7
permut presentations,7
procirep,7
red chillies entertainment,7
revelations entertainment,7
revolution films,7
savoy pictures,7
shanghai film group,7
strike entertainment,7
stuber productions,7
tapestry films,7
the guber-peters company,7
the zanuck company,7
thinkfilm,7
tv tokyo,7
umedia,7
virtual studios,7
wintergreen productions,7
wonderland sound and vision,7
zide-perry productions,7
american international,6
anchor bay films,6
apjac,6
apollomedia distribution,6
art linson productions,6
art pictures,6
artists,6
bórd scannán na héireann,6
bel air entertainment,6
benaroya pictures,6
black bear pictures,6
bona fide productions,6
cattleya,6
centre national du cinéma et de l'image animée (cnc),6
cinerenta medienbeteiligungs kg,6
city light,6
conundrum entertainment,6
darko entertainment,6
david foster productions,6
delphi v productions,6
depth of field,6
desperate pictures,6
dharma productions,6
don carmody productions,6
donner/shuler-donner productions,6
egoli tossell film ag,6
el deseo,6
element pictures,6
emi films ltd.,6
empire pictures,6
enlight pictures,6
filmengine,6
filmgate films,6
genre films,6
ghoulardi film company,6
golan-globus,6
good universe,6
gramercy pictures,6
green hat films,6
hammer film productions,6
imf internationale medien und film gmbh & co. 3. produktions kg,6
indigo film,6
industry entertainment,6
infinitum nihil,6
"jim henson company, the",6
jvc entertainment networks,6
konrad pictures,6
les films du fleuve,6
les productions du trésor,6
lin pictures,6
marubeni,6
maverick films,6
misher films,6
"montecito picture company, the",6
neal street productions,6
nelson entertainment,6
new zealand film commission,6
nippon television network (ntv),6
northern lights entertainment,6
october films,6
olympus pictures,6
oscilloscope laboratories,6
palace pictures,6
paradox entertainment,6
park pictures,6
parts and labor,6
pathe,6
perdido productions,6
point grey pictures,6
quickfire films,6
quinta communications,6
r.p. productions,6
radio télévision belge francophone (rtbf),6
rainforest films,6
rhombus media,6
see-saw films,6
smart egg pictures,6
sogepaq,6
studio 37,6
stx entertainment,6
tele münchen fernseh produktionsgesellschaft (tmg),6
telecinco cinema,6
the australian film commission,6
the mirisch corporation,6
tla releasing,6
toho,6
trimark pictures,6
venture forth,6
xyz films,6
1984 private defense contractors,5
aardman animations,5
aegis film fund,5
alive,5
amen ra films,5
anarchos productions,5
angoa-agicoa,5
