,counts
producer,14670
executive producer,8533
director,8051
screenplay,7381
editor,7054
casting,6055
director of photography,5611
original music composer,4768
art direction,4637
production design,4027
costume design,3876
writer,3870
set decoration,3261
makeup artist,2710
sound re-recording mixer,2257
script supervisor,2230
camera operator,2207
animation,2044
visual effects supervisor,2001
hairstylist,1939
sound effects editor,1855
still photographer,1701
visual effects producer,1695
music editor,1669
dialogue editor,1597
co-producer,1589
music,1583
stunts,1492
stunt coordinator,1471
supervising sound editor,1464
foley,1450
associate producer,1424
story,1337
costume supervisor,1328
set costumer,1246
novel,1206
set designer,1174
sound designer,1171
gaffer,1162
property master,1102
location manager,1079
art department coordinator,1067
visual effects editor,956
assistant art director,916
steadicam operator,910
makeup department head,877
assistant director,870
music supervisor,870
special effects coordinator,831
construction coordinator,817
first assistant editor,781
unit production manager,750
casting associate,748
digital intermediate,748
author,747
production manager,747
visual effects coordinator,719
first assistant camera,667
boom operator,662
key hair stylist,609
line producer,607
sound editor,604
production coordinator,599
makeup effects,590
special effects,568
transportation coordinator,550
adr & dubbing,548
sound recordist,543
orchestrator,528
assistant costume designer,511
storyboard,508
supervising art director,502
visual effects,502
post production supervisor,501
rigging gaffer,500
sound mixer,497
production supervisor,491
cg supervisor,488
unit publicist,478
characters,470
special effects supervisor,466
grip,459
hair department head,452
cinematography,443
thanks,438
leadman,408
scenic artist,402
second unit cinematographer,396
first assistant director,371
layout,370
electrician,359
greensman,355
color timer,351
animation supervisor,337
production accountant,337
assistant editor,331
sculptor,328
key grip,327
driver,325
production sound mixer,307
rigging grip,302
choreographer,290
transportation captain,287
helicopter camera,284
best boy electric,283
armorer,283
carpenter,278
lighting technician,274
digital compositors,268
dialect coach,238
painter,237
compositors,236
location scout,224
stand in,222
foley editor,222
key makeup artist,216
video assist operator,209
set dressing artist,207
casting assistant,205
propmaker,204
second assistant director,204
assistant sound editor,201
set production assistant,201
co-executive producer,200
set dresser,196
construction foreman,191
craft service,189
additional photography,189
additional camera,187
sound,186
animation director,181
art department assistant,179
dolly grip,171
adr editor,171
makeup designer,170
dolby consultant,167
other,166
wigmaker,159
seamstress,155
visual development,155
post production assistant,151
conceptual design,150
loader,149
standby painter,148
digital effects supervisor,147
hair designer,147
