,counts
woman director,457
independent film,384
duringcreditsstinger,350
based on novel,312
murder,305
violence,245
love,190
revenge,188
sex,186
aftercreditsstinger,183
biography,176
sport,175
friendship,168
dystopia,166
police,160
suspense,159
sequel,158
nudity,153
musical,147
teenager,145
drug,130
female nudity,130
los angeles,127
new york,123
prison,115
3d,113
high school,111
family,111
alien,100
world war ii,98
kidnapping,95
dying and death,94
london england,93
father son relationship,92
wedding,89
martial arts,89
based on true story,88
remake,87
new york city,85
serial killer,84
investigation,84
escape,84
daughter,84
rape,84
superhero,83
suicide,82
magic,81
paris,81
robbery,80
party,79
based on comic,79
detective,78
hospital,77
brother brother relationship,74
death,74
corruption,74
friends,74
prostitute,73
marriage,73
airplane,73
blood,71
monster,71
fight,69
jealousy,69
wife husband relationship,68
money,68
war,66
vampire,65
dog,64
small town,62
journalist,62
gay,62
explosion,62
love of one's life,61
dream,61
male nudity,61
lawyer,61
cia,60
teacher,60
gangster,60
infidelity,59
gore,59
future,59
rescue,59
music,58
time travel,58
flashback,58
best friend,58
secret,58
shootout,57
hotel,57
hitman,57
extramarital affair,56
psychopath,56
assassin,56
scientist,55
romance,55
fbi,55
alcohol,55
college,54
chase,54
spy,54
gang,54
adultery,54
witch,54
island,53
blackmail,53
relationship,52
doctor,52
divorce,52
post-apocalyptic,52
helicopter,51
christmas,50
obsession,50
soldier,50
undercover,50
1970s,49
dark comedy,49
brother sister relationship,49
holiday,49
survival,48
torture,48
hostage,48
student,48
romantic comedy,48
zombie,48
mother daughter relationship,48
criminal,48
animation,47
based on play or musical,47
ghost,47
drug dealer,46
conspiracy,46
fbi agent,46
sheriff,45
car crash,45
new love,45
supernatural,45
england,45
coming of age,45
neighbor,44
writer,44
demon,44
gun,44
marvel comic,43
hero,43
california,43
killer,43
robot,43
terrorist,43
nazis,43
slasher,43
baby,43
road trip,43
based on young adult novel,42
rivalry,42
alcoholic,42
car chase,42
family relationships,41
assassination,41
pregnancy,41
motorcycle,41
beach,41
secret identity,40
politics,40
texas,40
neo-noir,40
competition,40
funeral,40
faith,40
saving the world,39
school,39
nightmare,39
love triangle,39
sister sister relationship,39
ship,38
marijuana,38
desert,38
battle,38
usa president,38
orphan,37
forest,37
san francisco,37
baseball,37
parent child relationship,37
france,37
army,36
japan,36
found footage,36
author,36
heist,36
jungle,36
thief,36
homosexuality,36
comedy,36
loss of father,35
amnesia,35
betrayal,35
australia,35
kiss,35
usa,35
bomb,34
restaurant,34
based on video game,34
space,34
seduction,34
motel,34
princess,33
paranoia,33
black people,33
father daughter relationship,33
dancing,33
crime,33
church,33
bar,32
mutant,32
racism,32
government,32
based on tv series,32
artificial intelligence,32
dance,32
mafia,32
super powers,32
fire,32
deception,32
priest,32
reporter,32
chicago,32
training,32
gunfight,32
space marine,31
kung fu,31
extreme violence,31
military,31
historical figure,31
suicide attempt,31
cold war,30
travel,30
mission,30
singer,30
horse,30
insanity,30
dc comics,30
secret agent,29
hollywood,29
spoof,29
pilot,29
eroticism,29
court case,29
anime,29
space travel,29
gambling,29
imax,28
cheating,28
rural setting,28
train,28
terror,28
cat,28
android,28
female protagonist,28
mountain,28
millionaire,28
adoption,28
africa,28
spaceship,28
children,27
mother son relationship,27
werewolf,27
waitress,27
based on true events,27
lesbian,27
police officer,27
falling in love,27
on the run,27
summer,27
castle,27
single,27
weapon,27
american football,27
terrorism,27
china,27
fairy tale,26
lie,26
psychiatrist,26
hoodlum,26
swimming pool,26
lgbt,26
queen,26
road movie,26
disaster,26
19th century,26
bollywood,26
male female relationship,26
wilderness,26
airport,26
street gang,26
cult film,26
hallucination,26
curse,26
court,26
fantasy,26
lovers,25
intelligence,25
astronaut,25
sea,25
river,25
wheelchair,25
surrealism,25
transformation,25
india,25
teenage girl,25
treasure hunt,25
individual,25
child abuse,25
incest,25
computer,25
hacker,25
cyberpunk,25
film noir,25
alien invasion,25
gold,25
prince,25
vigilante,25
mobster,25
snow,25
car,25
winter,25
evil,24
florida,24
photographer,24
loss of lover,24
boat,24
mexico,24
female friendship,24
narration,24
police brutality,24
mask,24
forbidden love,24
book,24
southern usa,24
dinosaur,24
nurse,24
sword,24
politician,24
child,24
widow,24
sniper,24
cancer,24
1960s,23
lovesickness,23
drug addiction,23
boy,23
underdog,23
religion,23
strip club,23
world war i,23
bank,23
marriage crisis,23
village,23
father,23
talking animal,23
career,23
fugitive,23
showdown,23
1980s,23
secret love,23
casino,23
space opera,23
dysfunctional family,23
professor,23
experiment,23
becoming an adult,23
outer space,22
married couple,22
male friendship,22
slavery,22
painting,22
native american,22
scotland,22
apocalypse,22
outlaw,22
nightclub,22
halloween,22
