,counts
US,5617
GB,917
FR,570
DE,411
CA,323
IN,220
IT,160
JP,157
AU,148
ES,139
RU,132
CN,99
HK,96
BE,64
IE,62
KR,58
SE,50
MX,44
NL,43
DK,40
NZ,37
CZ,30
CH,26
ZA,24
NO,23
BR,23
AT,20
LU,19
FI,18
RO,18
HU,17
PL,17
IL,16
AE,16
AR,15
TR,13
TH,13
TW,11
CL,10
GR,9
IS,8
UA,7
BG,7
PH,7
IR,6
MA,6
MT,5
RS,5
ID,5
PT,4
PE,4
TN,4
PK,3
PR,3
SG,3
HR,3
BF,3
QA,3
DZ,3
BS,3
KH,2
EC,2
MR,2
VE,2
MC,2
MN,1
GH,1
MY,1
UY,1
BO,1
CM,1
SN,1
LK,1
NA,1
CI,1
CD,1
SI,1
AO,1
JM,1
BA,1
ML,1
AF,1
MK,1
PY,1
JO,1
CR,1
DO,1
CY,1
BW,1
CS,1
KZ,1
CO,1
LI,1
LT,1
ET,1
GE,1
PS,1
SA,1
