,counts
en,6449
fr,711
es,559
de,419
ru,364
it,321
ja,204
zh,163
hi,160
ar,102
pt,100
cn,89
ko,78
pl,69
la,66
hu,64
cs,57
th,55
ta,52
sv,50
he,41
tr,36
el,32
da,27
vi,23
ro,23
nl,23
ur,23
no,20
yi,19
ml,17
te,17
uk,17
fa,15
fi,15
xx,12
sr,11
is,9
af,9
gd,9
sw,8
tl,8
bn,8
ga,7
ca,7
bg,7
sq,6
mr,5
id,5
mi,5
pa,5
bo,5
sk,4
zu,4
hr,4
hy,4
bm,4
eo,4
so,4
ka,3
cy,3
nv,3
xh,3
my,3
km,3
bs,3
ln,2
sa,2
mn,2
eu,2
sh,2
et,2
ne,2
ce,2
gu,2
kn,2
kk,2
lo,1
ku,1
to,1
ny,1
ty,1
br,1
jv,1
ps,1
ms,1
mt,1
mk,1
am,1
st,1
wo,1
gn,1
as,1
gl,1
si,1
iu,1
qu,1
kw,1
